Type,Market,Indicator / combination,TF,Days covered,Trades,Win trades,Loss trades,Win %,Loss %,Total win ₹,Total loss ₹,Net ₹,Win ₹ / day,Loss ₹ / day,Net ₹ / day,Win trades / day,Loss trades / day,Profitable cells
"Combined","Futures","Supertrend +ADX20","60m","43","18","10","8","55.6","44.4","26213","14258","11955","610","332","278","0.23","0.19","3/3"
"Combined","Futures","FIB +ST filter","15m","12","32","19","13","59.4","40.6","44988","35747","9241","3749","2979","770","1.58","1.08","2/3"
"Combined","Futures","SMA50/200 +ST +ADX20","30m","24","5","2","3","40.0","60.0","2964","2625","339","124","109","14","0.08","0.13","2/3"
"Combined","Futures","SMA50/200 +ST +ADX20","15m","12","15","4","11","26.7","73.3","23426","25286","-1859","1952","2107","-155","0.33","0.92","1/3"
"Combined","Futures","Sweep +ST filter","30m","24","10","6","4","60.0","40.0","6888","8901","-2013","287","371","-84","0.25","0.17","2/3"
"Combined","Futures","Wick +ST filter","30m","24","13","9","4","69.2","30.8","8362","10503","-2142","348","438","-89","0.38","0.17","1/3"
"Combined","Futures","Sweep +ST filter","60m","43","9","5","4","55.6","44.4","4260","6793","-2533","99","158","-59","0.12","0.09","1/3"
"Combined","Futures","SMA50/200 +ST +ADX20","60m","43","7","4","3","57.1","42.9","9423","12332","-2909","219","287","-68","0.09","0.07","1/3"
"Combined","Futures","Sweep +ADX20","60m","43","19","7","12","36.8","63.2","26796","29831","-3035","623","694","-71","0.16","0.28","1/3"
"Combined","Futures","Wick +ST filter","60m","43","10","4","6","40.0","60.0","2217","8633","-6415","52","201","-149","0.09","0.14","0/3"
"Combined","Futures","EMA touch +ST filter","60m","43","17","3","14","17.6","82.4","17448","23968","-6520","406","557","-152","0.07","0.33","1/3"
"Combined","Futures","Supertrend + EMA touch","60m","43","47","19","28","40.4","59.6","50363","64902","-14539","1171","1509","-338","0.44","0.65","1/3"
"Combined","Futures","Sweep +VWAP side","60m","43","23","8","15","34.8","65.2","32861","50108","-17247","764","1165","-401","0.19","0.35","1/3"
"Combined","Futures","Wick +ST filter","15m","12","41","16","25","39.0","61.0","10408","29805","-19397","867","2484","-1616","1.33","2.08","0/3"
"Combined","Futures","FIB +ST filter","30m","24","19","8","11","42.1","57.9","15723","35962","-20239","655","1498","-843","0.33","0.46","1/3"
"Combined","Futures","Supertrend +ADX20","15m","12","57","29","28","50.9","49.1","88512","109694","-21182","7376","9141","-1765","2.42","2.33","2/3"
"Combined","Futures","Sweep +ST filter","15m","12","30","11","19","36.7","63.3","10278","34645","-24368","856","2887","-2031","0.92","1.58","1/3"
"Combined","Futures","EMA touch +ST filter","30m","24","34","14","20","41.2","58.8","15473","40634","-25161","645","1693","-1048","0.58","0.83","1/3"
"Combined","Futures","FIB +ST filter","60m","43","16","6","10","37.5","62.5","5774","36627","-30853","134","852","-718","0.14","0.23","1/3"
"Combined","Futures","Sweep + EMA touch","60m","43","59","18","41","30.5","69.5","55741","86928","-31187","1296","2022","-725","0.42","0.95","0/3"
"Combined","Futures","Sweep +VWAP side","30m","24","34","13","21","38.2","61.8","22895","54456","-31561","954","2269","-1315","0.54","0.88","0/3"
"Combined","Futures","Supertrend +ADX20","30m","24","38","20","18","52.6","47.4","53664","85517","-31853","2236","3563","-1327","0.83","0.75","1/3"
"Combined","Futures","Sweep +VWAP side","15m","12","41","14","27","34.1","65.9","30935","63281","-32345","2578","5273","-2695","1.17","2.25","0/3"
"Combined","Futures","EMA touch +ST filter","15m","12","62","20","42","32.3","67.7","17575","53533","-35958","1465","4461","-2996","1.67","3.50","0/3"
"Combined","Futures","Sweep + Wick","60m","43","85","28","57","32.9","67.1","74047","117850","-43802","1722","2741","-1019","0.65","1.33","0/3"
"Combined","Futures","Sweep +ADX20","15m","12","93","38","55","40.9","59.1","42798","86844","-44046","3567","7237","-3670","3.17","4.58","0/3"
"Combined","Futures","Supertrend + EMA touch","15m","12","163","67","96","41.1","58.9","130501","178375","-47873","10875","14865","-3989","5.58","8.00","1/3"
"Combined","Futures","Sweep +ADX20","30m","24","47","15","32","31.9","68.1","17189","66899","-49710","716","2787","-2071","0.63","1.33","0/3"
"Combined","Futures","All keepers","60m","43","133","46","87","34.6","65.4","107849","175115","-67266","2508","4072","-1564","1.07","2.02","0/3"
"Combined","Futures","Sweep + EMA touch","30m","24","127","54","73","42.5","57.5","52092","132606","-80513","2171","5525","-3355","2.25","3.04","1/3"
"Combined","Futures","Sweep + EMA touch","15m","12","215","82","133","38.1","61.9","78516","166363","-87847","6543","13864","-7321","6.83","11.08","0/3"
"Combined","Futures","Supertrend + EMA touch","30m","24","101","46","55","45.5","54.5","75443","163974","-88532","3143","6832","-3689","1.92","2.29","1/3"
"Combined","Futures","Sweep + Wick","30m","24","140","54","86","38.6","61.4","61334","156613","-95279","2556","6526","-3970","2.25","3.58","1/3"
"Combined","Futures","All keepers","15m","12","452","166","286","36.7","63.3","218173","343105","-124932","18181","28592","-10411","13.83","23.83","0/3"
"Combined","Futures","Sweep + Wick","15m","12","300","108","192","36.0","64.0","126933","257709","-130777","10578","21476","-10898","9.00","16.00","0/3"
